SMA  INTENSITY  INTENSITY_ERROR  ELLIP   ELLIP_ERROR  PA  PA_ERROR
      0.00000      5109.40  1.60000e+38  1.60000e+38  1.60000e+38  1.60000e+38  1.60000e+38
      1.00000      4474.01      44.2330     0.231152    0.0649270     -80.1479      9.42867
      2.00000      3617.37      47.9097     0.227261    0.0138024     -78.6301      2.03422
      3.00000      2921.32      32.3897     0.305333   0.00801475     -76.5199     0.922546
      4.00000      2365.96      21.1657     0.343047   0.00610799     -76.1794     0.621156
      5.00000      1931.15      14.8183     0.369581   0.00721490     -77.1158     0.710059
      6.00000      1567.75      9.84002     0.369670   0.00675474     -77.0048     0.664605
      7.00000      1267.46      6.51980     0.354464   0.00576137     -76.6096     0.577337
      8.00000      1045.86      5.09241     0.336799   0.00578540     -76.6555     0.608031
      9.00000      881.230      4.25529     0.310327   0.00584230     -76.7777     0.652508
      10.0000      755.362      5.04169     0.273549   0.00947971     -75.9626      1.15636
      11.0000      662.040      8.48549     0.229701    0.0242520     -72.3341      3.41568
      12.0000      604.640      8.06917     0.221973    0.0207168     -71.3677      3.01396
      13.0000      555.204      5.95745     0.234588    0.0160931     -72.1628      2.23678
      14.0000      518.895      4.47884     0.253270    0.0113901     -72.9241      1.49442
      15.0000      487.652      3.31452     0.270904   0.00776863     -73.0484     0.959358
      16.0000      460.809      2.70073     0.285000   0.00720753     -72.5347     0.849558
      17.0000      439.766      2.36557     0.300841   0.00692481     -71.2025     0.788850
      18.0000      418.286      2.29287     0.311881   0.00780219     -70.3703     0.860047
      19.0000      399.642      2.17134     0.323080   0.00773848     -70.0186     0.827445
      20.0000      382.385      1.96238     0.330340   0.00740560     -71.2553     0.782189
      21.0000      367.515      2.04726     0.339038   0.00703998     -70.5567     0.726747
      22.0000      355.996      2.01475     0.352854   0.00680663     -69.9955     0.683382
      23.0000      341.043      2.01747     0.359111   0.00787941     -70.3330     0.778291
      24.0000      329.228      2.05992     0.367444   0.00761350     -70.1824     0.738915
      25.0000      314.784      2.02268     0.367295   0.00845403     -69.9290     0.821180
      26.0000      306.518      1.97210     0.375995   0.00719838     -69.4618     0.687822
      27.0000      297.755      1.96347     0.382885   0.00781237     -69.2301     0.736491
      28.0000      289.237      1.94118     0.390278   0.00795696     -69.3434     0.740404
      29.0000      282.759      1.83100     0.400043   0.00651550     -69.7629     0.597802
      30.0000      274.256      1.86069     0.401759   0.00719397     -69.9543     0.655582
      31.0000      268.001      1.82142     0.409617   0.00669332     -69.6013     0.603280
      32.0000      263.177      1.76510     0.420817   0.00654808     -69.5468     0.579198
      33.0000      255.773      1.70877     0.426958   0.00663920     -69.4838     0.582575
      34.0000      248.330      1.66730     0.431154   0.00730190     -69.8924     0.636624
      35.0000      245.151      1.64781     0.442733   0.00636849     -69.7652     0.543363
      36.0000      241.891      1.64743     0.452711   0.00645828     -69.3543     0.543766
      37.0000      234.950      1.64941     0.453056   0.00649703     -68.8304     0.548472
      38.0000      229.815      1.66975     0.458191   0.00640430     -68.7902     0.535033
      39.0000      227.948      1.67924     0.469663   0.00585848     -68.6681     0.483928
      40.0000      224.018      1.70377     0.475675   0.00579755     -68.7466     0.474546
      41.0000      220.727      1.72604     0.483234   0.00578036     -68.9008     0.469055
      42.0000      215.869      1.84576     0.487883   0.00667401     -68.7377     0.537394
      43.0000      211.627      1.91288     0.492976   0.00711794     -68.5848     0.568974
      44.0000      209.736      1.95300     0.502635   0.00711202     -68.5848     0.564750
      45.0000      207.348      1.97857     0.512219   0.00752440     -68.5848     0.591143
      46.0000      205.379      2.00145     0.519930   0.00768905     -68.2917     0.598102
      47.0000      201.497      2.03700     0.523166   0.00798341     -68.4720     0.617759
      48.0000      201.877      2.00428     0.536138   0.00793212     -68.4720     0.606531
      49.0000      199.642      2.04375     0.539314   0.00890411     -67.7869     0.681243
      50.0000      198.739      2.06914     0.549335   0.00857580     -67.7869     0.649087
      51.0000      197.943      2.11534     0.557296   0.00961770     -67.6322     0.723669
      52.0000      196.087      2.17420     0.563102    0.0102602     -67.6322     0.767184
      53.0000      195.628      2.20640     0.571429    0.0103196     -67.6322     0.768390
      54.0000      195.448      2.22188     0.580274   0.00982860     -67.6322     0.726311
      55.0000      195.293      2.24757     0.587810   0.00951422     -67.4634     0.700942
      56.0000      195.236      2.28621     0.595625   0.00925992     -67.4634     0.677749
      57.0000      195.656      2.32607     0.604782   0.00892085     -67.4634     0.649974
      58.0000      194.254      2.37023     0.609367   0.00854946     -67.3488     0.620774
      59.0000      193.178      2.39590     0.615310   0.00806332     -67.3488     0.581917
      60.0000      190.278      2.43131     0.616940   0.00804315     -67.2390     0.582252
      61.0000      189.439      2.43062     0.622468   0.00748054     -67.2835     0.538468
      62.0000      188.943      2.43153     0.628443   0.00743959     -67.2955     0.535306
      63.0000      185.692      2.40912     0.628664   0.00785788     -67.2706     0.564140
      64.0000      181.505      2.31014     0.626269   0.00667085     -67.1472     0.480433
      65.0000      176.860      2.19702     0.623908   0.00686097     -66.9213     0.493648
      66.0000      173.154      2.13930     0.624686   0.00650954     -66.9694     0.467608
      67.0000      170.514      2.08190     0.627020   0.00637102     -67.0584     0.457732
      68.0000      168.723      2.06325     0.630102   0.00629283     -67.0723     0.450866
      69.0000      167.564      2.06608     0.634102   0.00577626     -66.9790     0.413250
      70.0000      166.097      2.03585     0.637214   0.00564766     -66.8524     0.404683
      71.0000      163.489      1.92740     0.638190   0.00548508     -66.7581     0.392694
      72.0000      159.753      1.80768     0.636543   0.00490673     -66.6352     0.351202
      73.0000      156.992      1.72669     0.637064   0.00477445     -66.5921     0.341271
      74.0000      154.201      1.62417     0.637652   0.00412795     -66.6401     0.294698
      75.0000      151.051      1.51184     0.637529   0.00390043     -66.6971     0.278885
      76.0000      149.370      1.47347     0.639996   0.00400025     -66.8004     0.285330
      77.0000      147.011      1.42552     0.641619   0.00383899     -66.9476     0.273885
      78.0000      144.669      1.38024     0.643360   0.00379639     -67.0638     0.270959
      79.0000      141.288      1.30928     0.643804   0.00373071     -67.2792     0.263740
      80.0000      138.636      1.27393     0.645058   0.00369677     -67.3852     0.259800
      81.0000      133.761      1.18889     0.643308   0.00345515     -67.5733     0.241486
      82.0000      130.228      1.10652     0.642547   0.00315425     -67.8469     0.219562
      83.0000      127.435      1.07616     0.642861   0.00347465     -68.0789     0.241628
      84.0000      122.224      1.00597     0.638869   0.00359438     -68.3633     0.249535
      85.0000      121.041     0.994505     0.641577   0.00334616     -68.4381     0.231477
      86.0000      118.423     0.970172     0.642425   0.00333647     -68.6516     0.229630
      87.0000      117.679     0.979799     0.645514   0.00329702     -68.8333     0.225777
      88.0000      117.671      1.01368     0.650014   0.00332296     -68.8333     0.226176
      89.0000      116.804      1.00838     0.653245   0.00302804     -68.9164     0.206169
      90.0000      117.082      1.02946     0.657619   0.00310214     -68.9918     0.210094
      91.0000      115.539      1.00780     0.659810   0.00294332     -69.1732     0.198359
      92.0000      113.009     0.983701     0.660665   0.00279212     -69.3198     0.187354
      93.0000      111.918     0.996250     0.662864   0.00274700     -69.4423     0.184757
      94.0000      110.639     0.987628     0.665417   0.00263985     -69.5492     0.177104
      95.0000      109.401      1.03176     0.666871   0.00277159     -69.6859     0.186564
      96.0000      107.987      1.01709     0.668623   0.00244831     -69.8110     0.165852
      97.0000      105.410     0.990530     0.668482   0.00247793     -69.9435     0.168544
      98.0000      102.610     0.952678     0.668432   0.00235305     -70.0854     0.160372
      99.0000      100.085     0.906764     0.668754   0.00227205     -70.2968     0.155165
      100.000      98.3248     0.886256     0.670031   0.00220136     -70.3338     0.151028
      101.000      95.1251     0.845014     0.669184   0.00242679     -70.4015     0.166882
      102.000      92.8748     0.791659     0.669388   0.00221197     -70.4298     0.152135
      103.000      91.0183     0.784557     0.670052   0.00218197     -70.5885     0.150204
      104.000      88.3380     0.751227     0.669317   0.00208866     -70.7216     0.144247
      105.000      83.6944     0.732401     0.665700   0.00216607     -70.6963     0.150186
      106.000      80.6476     0.679103     0.664258   0.00232203     -70.8725     0.161200
      107.000      78.1633     0.638545     0.662990   0.00220599     -71.0763     0.153381
      108.000      77.1245     0.604366     0.664342   0.00208654     -71.2237     0.145420
      109.000      75.9169     0.598289     0.665519   0.00210396     -71.3613     0.146585
      110.000      73.4221     0.571611     0.664325   0.00206819     -71.5279     0.144317
      111.000      71.0401     0.539648     0.663494   0.00216591     -71.6578     0.151125
      112.000      69.0275     0.529187     0.663317   0.00226248     -71.6777     0.158439
      113.000      66.8570     0.509175     0.662850   0.00233133     -71.8201     0.162989
      114.000      64.6142     0.456497     0.662073   0.00218326     -71.9529     0.152976
      115.000      62.7741     0.438666     0.661513   0.00228864     -72.0595     0.160782
      116.000      60.8808     0.425728     0.660536   0.00240527     -72.1154     0.169252
      117.000      59.5805     0.403528     0.660914   0.00266827     -72.2724     0.187774
      118.000      58.5246     0.401860     0.661897   0.00252953     -72.2952     0.178266
      119.000      57.3691     0.384775     0.662715   0.00263831     -72.3629     0.185978
      120.000      55.8250     0.348332     0.662084   0.00245871     -72.4559     0.173686
      121.000      53.3899     0.335123     0.658314   0.00242632     -72.3602     0.171369
      122.000      51.8767     0.342829     0.657663   0.00277194     -72.3389     0.195814
      123.000      51.3477     0.346192     0.659830   0.00262144     -72.3551     0.184753
      124.000      50.4726     0.330764     0.660251   0.00294109     -72.4697     0.207378
      125.000      49.5532     0.318609     0.660650   0.00271757     -72.5395     0.191544
      126.000      46.6219     0.332696     0.650438   0.00313157     -72.7094     0.221103
      127.000      45.8878     0.339891     0.651275   0.00344268     -72.6810     0.242701
      128.000      45.9307     0.340702     0.653824   0.00365533     -72.7665     0.257620
      129.000      45.4579     0.328003     0.655549   0.00328087     -72.6945     0.231130
      130.000      44.7730     0.320977     0.656173   0.00333196     -72.7032     0.234584
      131.000      44.1874     0.314369     0.657440   0.00346432     -72.8465     0.244340
      132.000      43.5145     0.299339     0.658902   0.00303480     -73.1671     0.213329
      133.000      43.0812     0.288606     0.660378   0.00307230     -73.2027     0.215575
      134.000      42.6033     0.294115     0.661281   0.00297133     -73.2027     0.208755
      135.000      42.0154     0.286811     0.663193   0.00280804     -73.0936     0.197076
      136.000      41.1707     0.280982     0.663035   0.00301831     -73.3162     0.211984
      137.000      40.8486     0.278699     0.664916   0.00311034     -73.4019     0.217846
      138.000      39.5284     0.269555     0.662203   0.00317183     -73.5586     0.221758
      139.000      38.1889     0.263832     0.656221   0.00321833     -73.6645     0.222957
      140.000      36.6284     0.267655     0.649252   0.00352641     -73.8780     0.243884
      141.000      36.0896     0.263315     0.649722   0.00361158     -73.9218     0.251152
      142.000      35.3937     0.252594     0.649377   0.00330958     -73.6054     0.230410
      143.000      35.4872     0.250778     0.653852   0.00333137     -73.6054     0.232071
      144.000      35.2088     0.239762     0.655240   0.00319530     -73.6054     0.222321
